snowballing source title,paper title,excluded,selected
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,"The New Calculator? Practices, Norms, and Implications of Generative AI in Higher Education",1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,[PDF] Investigating computing science students' and educators' initial perceptions of ChatGPT in higher education,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,We have to learn to work with such systems: Students' Perceptions of ChatGPT After a Short Educational Intervention on NLP,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Examining Student and Teacher Perspectives on Undisclosed Use of Generative AI in Academic Work,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Using Microsoft Copilot Chat in the Work of IT Educators: Pilot Study,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,[PDF] Tehokkaiden strategioiden ja haasteiden tutkiminen teko√§lyty√∂kalujen integroinnissa ohjelmoinnin opetukseen,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,[PDF] Learning and Teaching with AI in STEM Education: An Umbrella Review,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Scalable Personalized Education in the Age of GenAI: The Potential and Challenges of the PolyGloT Framework,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,The human nature of generative AIs and the technological nature of humanity: Implications for education,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,The Role of Generative AI in Software Student CollaborAItion,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,CompEd-WGR 2023,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Where's the Data? Finding and Reusing Datasets in Computing Education,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Exploring ChatGPT and its impact on society,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"Exploring the impact of ChatGPT on art creation and collaboration: Benefits, challenges and ethical implications",0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,[PDF] Review of generative ai methods in cybersecurity,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"Transparency, Security, and Workplace Training & Awareness in the Age of Generative AI",1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Large Language Model‚ÄêBased Chatbots in Higher Education,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Balancing Bytes and Ethics: Stakeholder Implications of Private LLMs.,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Engineering Safety and Ethical Challenges in 2045 Artificial Intelligence Singularity,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Large Language Models in Computer Science Classrooms: Ethical Challenges and Strategic Solutions.,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Ethical and Privacy Challenges of Generative AI,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"Risks, Causes, and Mitigations of Widespread Deployments of Large Language Models (LLMs): A Survey",0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Understanding the Ethics of Generative AI: Established and New Ethical Principles,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,A survey on human-ai teaming with large pre-trained models,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,A primer on generative artificial intelligence,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"A systematic review and comprehensive analysis of pioneering AI chatbot models from education to healthcare: ChatGPT, Bard, Llama, Ernie and Grok",0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"Trustworthy, responsible, and safe ai: A comprehensive architectural framework for ai safety with challenges and mitigations",1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,GPT-4 in a cancer center‚Äîinstitute-wide deployment challenges and lessons learned,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Optimizing AI-Assisted Code Generation,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,GPTs or Grim Position Threats? The Potential Impacts of Large Language Models on Non-Managerial Jobs and Certifications in Cybersecurity,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"Chatgpt's security risks and benefits: offensive and defensive use-cases, mitigation measures, and future implications",0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Navigating the Ethical Terrain of AI-Generated Text Tools: A Review,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"A contemporary review on chatbots, AI-powered virtual conversational agents, ChatGPT: Applications, open challenges and future research directions",0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Governance of generative artificial intelligence for companies,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Educational Technology and Responsible Automated Essay Scoring in the Generative AI Era,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,A security risk taxonomy for prompt-based interaction with large language models,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"Risk taxonomy, mitigation, and assessment benchmarks of large language model systems",1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Ai agents under threat: A survey of key security challenges and future pathways,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Generative AI in cyber security of cyber physical systems: Benefits and threats,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,The ethical security of large language models: A systematic review,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Against The Achilles' Heel: A Survey on Red Teaming for Generative Models,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Ethical dimensions of generative AI: a cross-domain analysis using machine learning structural topic modeling,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,[PDF] Using large language models to mitigate ransomware threats,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,[PDF] Ethical Use of Generative AI in a Business Management Consulting and Research Case,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Fortifying Ethical Boundaries in AI: Advanced Strategies for Enhancing Security in Large Language Models,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Application of Large Language Models in Cybersecurity: A Systematic Literature Review,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Psychological Profiling in Cybersecurity: A Look at LLMs and Psycholinguistic Features,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,An experimental hybrid customized AI and generative AI chatbot human machine interface to improve a factory troubleshooting downtime in the context of Industry 5.0,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Exploring the Role of Generative Artificial Intelligence in the Energy Sector: A Comprehensive Literature Review,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"[PDF] Emerging cybersecurity and privacy threats of chatgpt, gemini, and copilot: Current trends, challenges, and future directions",1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Recommender Systems Meet Large Language Model Agents: A Survey,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Detection of AI Generated Text With BERT Model,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Large language models in 6g security: challenges and opportunities,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,A learning agreement for generative AI use in university courses: a pilot study,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Future of ADHD care: Evaluating the efficacy of ChatGPT in therapy enhancement,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Digital Sentinels and Antagonists: The Dual Nature of Chatbots in Cybersecurity,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Trust and Trustworthiness: Privacy Protection in the ChatGPT Era,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Bridging knowledge gap: the contribution of employees' awareness of AI cyber risks comprehensive program to reducing emerging AI digital threats,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,User-Centric Adoption of Democratized Generative AI: Focus on Human-Machine Interaction and Overcoming Challenges,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Trust and Trustworthiness: Privacy,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,A Systematic Literature Review of Empirical Research on Applying Generative Artificial Intelligence in Education,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Benchmark data contamination of large language models: A survey,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Therapy as an NLP Task: Psychologists' Comparison of LLMs and Human Peers in CBT,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Near to mid-term risks and opportunities of open-source generative AI,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,AI for cyber-security risk: harnessing AI for automatic generation of company-specific cybersecurity risk profiles,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Privacy-preserved and Responsible Recommenders: From Conventional Defense to Federated Learning and Blockchain,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,AN ANALYSIS OF SECURITY RISKS POSED BY TEXT-BASED GENERATIVE AI AND CORPORATE SECURITY WEAKNESSES LEADING TO DATA LEAKS,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Reliability Issues of LLMs: ChatGPT a Case Study,0,1
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Artificial intelligence in e-commerce,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Seven HCI Grand Challenges Revisited: Five-Year Progress,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"Negotiating with llms: Prompt hacks, skill gaps, and reasoning deficits",0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Exploring the frontiers of llms in psychological applications: A comprehensive review,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Understanding privacy concerns in ChatGPT: A data-driven approach with LDA topic modeling,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"Generative AI in user experience design and research: how do UX practitioners, teams, and companies use GenAI in industry?",0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Enhancing DevSecOps practice with Large Language Models and Security Chaos Engineering,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Natural Language but Omitted? On the Ineffectiveness of Large Language Models' privacy policy from End-users' Perspective,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Applications of generative AI (GAI) for mobile and wireless networking: A survey,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"Generative AI and LLMs for critical infrastructure protection: evaluation benchmarks, agentic AI, challenges, and opportunities",0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,An Approach Based on LLMs for Forensic Threat Detection in Autonomous Systems,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Grounded large language models for diagnostic prediction in real-world emergency department settings,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Approaches for integrating generative artificial intelligence in emergency healthcare education within higher education: a scoping review.,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Unique security and privacy threats of large language model: A comprehensive survey,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,[PDF] Risks and Opportunities of Open-Source Generative AI,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"GPT, ontology, and CAABAC: A tripartite personalized access control model anchored by compliance, context and attribute",0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,ChatGPT-assisted penetration testing of consumer IoT devices: Exploring penetration testing of consumer IoT devices assisted by GPT-4,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,eXplainable artificial intelligence (XAI) in business management research: a success/failure system perspective,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Threat Attribution using Generative AI,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"Towards message brokers for generative ai: Survey, challenges, and opportunities",1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Unsafe Synthetic Image Generation,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,A review of generative models in generating synthetic attack data for cybersecurity,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"[PDF] Generativ AI, digital resiliens och civil beredskap: en kunskaps√∂versikt",1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,On the Impact of Noise in Differentially Private Text Rewriting,1,0
Evaluating Social Bias in Code Generation Models,Unveiling Provider Bias in Large Language Models for Code Generation,1,0
Evaluating Social Bias in Code Generation Models,Exposing Product Bias in LLM Investment Recommendation,1,0
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,Enhancing education for children with ASD: a review of evaluation and measurement in AI tool implementation,0,0
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,AI-Powered Education: Rethinking the Way Programming is Taught Using AI Tools and Reversed Bloom's Taxonomy,0,0
WhyGen: Explaining ML-powered Code Generation by Referring to Training Examples,Copyright protection in generative ai: A technical perspective,1,0
WhyGen: Explaining ML-powered Code Generation by Referring to Training Examples,Scratch Copilot Evaluation: Assessing AI-Assisted Creative Coding for Families,1,0
WhyGen: Explaining ML-powered Code Generation by Referring to Training Examples,A user-centered security evaluation of copilot,0,0
ChatGPT for Software Development: Opportunities and Challenges,LLMs: A Game-Changer for Software Engineers?,1,0
ChatGPT for Software Development: Opportunities and Challenges,"LLMs' Reshaping of People, Processes, Products, and Society in Software Development: A Comprehensive Exploration with Early Adopters",1,0
ChatGPT for Software Development: Opportunities and Challenges,Predicting the Need for Test Maintenance Using LLM Agents-Applying Test Maintenance Factors to Changes in Production Code to Identify If and Where Test Cases ‚Ä¶,1,0
ChatGPT for Software Development: Opportunities and Challenges,ChatGPT API: Brief overview and integration in Software Development,0,0
ChatGPT for Software Development: Opportunities and Challenges,Is ethics merely a checkbox? Exploring the Motivations of AI Practitioners Towards Ethics in AI,1,0
ChatGPT for Software Development: Opportunities and Challenges,AI-Driven Software Development How Has the Rise of ChatGPT Impacted GitHub Repositories?-Analysing Organisational User Activity,1,0
ChatGPT for Software Development: Opportunities and Challenges,AI-Driven Software Development How Has the Rise of ChatGPT Impacted GitHub Users?,1,0
ChatGPT for Software Development: Opportunities and Challenges,AI-Driven Software Development How has the rise of ChatGPT Impacted GitHub Repositories?-Impact of ChatGPT on Code Quality,1,0
ChatGPT for Software Development: Opportunities and Challenges,Quantitative Assessment of Generative Large Language Models on Design Pattern Application.,0,0
ChatGPT for Software Development: Opportunities and Challenges,Ai-Driven Software Development: How Has the Rise of ChatGPT Impacted GitHUB Users?-Identification of Control and Treatment Groups,1,0
ChatGPT for Software Development: Opportunities and Challenges,A novel voice in head actor critic reinforcement learning with human feedback framework for enhanced robot navigation,0,0
ChatGPT for Software Development: Opportunities and Challenges,Ihmisen ja teko√§lyn yhteisty√∂ ohjelmistokehityksess√§,1,0
ChatGPT for Software Development: Opportunities and Challenges,Bachelor's Thesis Computing Science,1,0
The ìCodeî of Ethics: A Holistic Audit of AI Code Generators,Copyright protection in generative ai: A technical perspective,1,0
The ìCodeî of Ethics: A Holistic Audit of AI Code Generators,Ai agents under threat: A survey of key security challenges and future pathways,0,0
The ìCodeî of Ethics: A Holistic Audit of AI Code Generators,"Generative artificial intelligence in construction: A Delphi approach, framework, and case study",0,0
The ìCodeî of Ethics: A Holistic Audit of AI Code Generators,Emergent Possibilities and Challenges in Deep Learning for Code,1,0
The ìCodeî of Ethics: A Holistic Audit of AI Code Generators,"Robustness, security, privacy, explainability, efficiency, and usability of large language models for code",1,0
The ìCodeî of Ethics: A Holistic Audit of AI Code Generators,Introducing AI Code Generators in Agile Software Testing,0,0
The ìCodeî of Ethics: A Holistic Audit of AI Code Generators,Network Traffic Fingerprinting for IIoT Device Identification: A Survey,0,0
Exploring the Role of AI in Web Design and Development: A Voyage through Automated Code Generation,Introducing AI Code Generators in Agile Software Testing,0,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,Human-AI Experience in Integrated Development Environments: A Systematic Literature Review,1,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,"LLMs' Reshaping of People, Processes, Products, and Society in Software Development: A Comprehensive Exploration with Early Adopters",1,0
PaLM: scaling language modeling with pathways,A complete survey on llm-based ai chatbots,1,0
PaLM: scaling language modeling with pathways,Self-collaboration code generation via chatgpt,0,0
PaLM: scaling language modeling with pathways,"Large Language Models (LLM) in Industry: A Survey of Applications, Challenges, and Trends",0,0
PaLM: scaling language modeling with pathways,"Red teaming chatgpt via jailbreaking: Bias, robustness, reliability and toxicity",1,0
PaLM: scaling language modeling with pathways,"[PDF] A survey on large language models: Applications, challenges, limitations, and practical usage",1,0
PaLM: scaling language modeling with pathways,AI-native interconnect framework for integration of large language model technologies in 6G systems,1,0
PaLM: scaling language modeling with pathways,Understanding large language models,0,0
PaLM: scaling language modeling with pathways,"History, development, and principles of large language models: an introductory survey",0,0
PaLM: scaling language modeling with pathways,"Comprehensive analysis of transparency and accessibility of chatgpt, deepseek, and other sota large language models",1,0
PaLM: scaling language modeling with pathways,The limitations and ethical considerations of chatgpt,0,0
PaLM: scaling language modeling with pathways,Bugs in large language models generated code: An empirical study,0,0
PaLM: scaling language modeling with pathways,LLM-in-the-loop: Leveraging large language model for thematic analysis,1,0
PaLM: scaling language modeling with pathways,"[PDF] Large language models: a comprehensive survey of its applications, challenges, limitations, and future prospects",1,0
PaLM: scaling language modeling with pathways,"Risk taxonomy, mitigation, and assessment benchmarks of large language model systems",1,0
PaLM: scaling language modeling with pathways,‚ÄúConversing‚Äù with qualitative data: Enhancing qualitative research through large language models (LLMs),0,0
PaLM: scaling language modeling with pathways,Generative retrieval-augmented ontologic graph and multiagent strategies for interpretive large language model-based materials design,0,0
PaLM: scaling language modeling with pathways,Chatglm: A family of large language models from glm-130b to glm-4 all tools,1,0
PaLM: scaling language modeling with pathways,The Transformative Impact of Large Language Models on Neural Network Research,0,0
PaLM: scaling language modeling with pathways,Evolution and Prospects of Foundation Models: From Large Language Models to Large Multimodal Models.,0,0
PaLM: scaling language modeling with pathways,Navigating the Ethical Terrain of AI-Generated Text Tools: A Review,0,0
PaLM: scaling language modeling with pathways,The future of accounting: Sentiment analysis in AI-rewritten SEC filings,0,0
PaLM: scaling language modeling with pathways,"Towards Federated Large Language Models: Motivations, Methods, and Future Directions",0,0
PaLM: scaling language modeling with pathways,Computational experiments meet large language model based agents: A survey and perspective,1,0
PaLM: scaling language modeling with pathways,On Generative Artificial Intelligence: Open-Source is the Way,0,0
PaLM: scaling language modeling with pathways,Mapping the evolution of generative AI: insights from bibliometric research,0,0
PaLM: scaling language modeling with pathways,Biocoder: A benchmark for bioinformatics code generation with contextual pragmatic knowledge,0,0
PaLM: scaling language modeling with pathways,"Camel: Communicative agents for"" mind"" exploration of large language model society",0,0
PaLM: scaling language modeling with pathways,The implementation of the cognitive theory of multimedia learning in the design and evaluation of an AI educational video assistant utilizing large language models,0,0
PaLM: scaling language modeling with pathways,Fine-Tuning Large Language Models for Practical Software Engineering: Case Studies in Automated Patch Generation,0,0
PaLM: scaling language modeling with pathways,A comprehensive survey of ai-generated content (aigc): A history of generative ai from gan to chatgpt,1,0
PaLM: scaling language modeling with pathways,"[PDF] LLMs: A Comprehensive Survey of Applications, Challenges, Datasets, Models, Limitations, and Future Prospects",1,0
PaLM: scaling language modeling with pathways,Cloud Platforms for Developing Generative AI Solutions: A Scoping Review of Tools and Services,1,0
PaLM: scaling language modeling with pathways,Autonomous chemical research with large language models,0,0
PaLM: scaling language modeling with pathways,Fingpt: Democratizing internet-scale data for financial large language models,1,0
PaLM: scaling language modeling with pathways,Large Language Models for Software Engineering: A Systematic Mapping Study,0,0
PaLM: scaling language modeling with pathways,Qwen 2.5: A Comprehensive Review of the Leading Resource-Efficient LLM with potentioal to Surpass All Competitors,1,0
PaLM: scaling language modeling with pathways,"A review on large language models: Architectures, applications, taxonomies, open issues and challenges",0,0
PaLM: scaling language modeling with pathways,TableAnalyst: an LLM-agent for tabular data analysis-Implementation and evaluation on tasks of varying complexity,1,0
PaLM: scaling language modeling with pathways,Beyond efficiency: A systematic survey of resource-efficient large language models,1,0
PaLM: scaling language modeling with pathways,A survey of ai-generated content (aigc),0,0
PaLM: scaling language modeling with pathways,[PDF] Towards Principled Training and Serving of Large Language Models,1,0
PaLM: scaling language modeling with pathways,Prompt2DeModel: Declarative Neuro-Symbolic Modeling with Natural Language,1,0
PaLM: scaling language modeling with pathways,"UI/UX for Generative AI: Taxonomy, Trend, and Challenge",0,0
PaLM: scaling language modeling with pathways,Large language models still can't plan (a benchmark for LLMs on planning and reasoning about change),0,0
PaLM: scaling language modeling with pathways,Criticbench: Benchmarking llms for critique-correct reasoning,1,0
PaLM: scaling language modeling with pathways,Do Large Language Models Mirror Cognitive Language Processing?,1,0
PaLM: scaling language modeling with pathways,Comparative Analysis of Large Language Models,0,0
PaLM: scaling language modeling with pathways,A categorical archive of chatgpt failures,1,0
PaLM: scaling language modeling with pathways,ChatGPT or A Silent Everywhere Helper: A Survey of Large Language Models,1,0
PaLM: scaling language modeling with pathways,Applications of Generative AI Models,0,0
PaLM: scaling language modeling with pathways,[PDF] Beyond One-Model-Fits-All: A Survey of Domain Specialization for Large Language Models,1,0
PaLM: scaling language modeling with pathways,Evolution through large models,0,0
