paper title,provenance,bib,dimension,phase
PaLM: scaling language modeling with pathways,specific search,chowdhery2023palm,"fairness

environment (energy consumption, emissions)

diverse

transparency

religion

culture

code quality

licensing","fairness: ""bias in gender, occupation, races, religions"", ""bias can pervade a system depending on the specific downstream application"";

environment: ""Compute Usage and Environmental Impact"",""report the net tCO2e emitted by training ""

diverisity: "" mitigate such biases and toxicity to enable fair and inclusive use across diverse populations and provide safety guard rails against malicious use cases"";

transparency: ""we omit any manual human labeling to make the analysis transparent and easily reproducible.""

religion: Distribution of toxicity probabilities of the continuation in the first sentence for various religious groups 

culture: ""fairness evaluations and benchmarks developed in and for the Western world may not be readily portable to other geo-cultural contexts where societal disparities may manifest along an entirely different set of axes""

code quality ""Functional correctness is only one aspect of source code quality; LM-produced suggestions must also be readable, robust, fast, and secure""

licensing: ""filtered the files by the license included in the repository; copyleft licenses were excluded."""
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,specific search,klemmer2024using,"privacy;
code quality
licensing, source acknowledgement","""A few participants reported that their companies banned AI assistants by policy, but mainly for privacy reasons, as outlined in Section 4.2.2"", ""leaking sensitive data when using third-party AI assistants""
""The overall (security) mistrust in AI assistants is primarily due to code quality concerns."" ""small snippets might be dangerous, e.g., when AI hallucinates packages""
""returns entire snippets of copyrighted code without any attribution."""
Reliability Issues of LLMs: ChatGPT a Case Study,"forward snowball from ""From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy""",majeed2024reliability,"transparency;

fairness; diversity; culture

privacy and security;

source acknowledgement

consent, licensing, 

code quality (source, inaccuracy output)","""Transparency as to data sources can help prevent misuse of copyright-protected content."", ""lack of trust and transparency in terms of the resources used in training them""

""diverse data should be used in generating answers to eliminate bias, rather than using only data from the dominant culture""

""memorize the structure/function of the software, leading to configuration disclosure. This problem is more severe than individual privacy leaks""

""it is worth providing source/ repository information where the code came from, so users can verify the source code and licensing information.""

""There should be information regarding consent from each data source to respect copyright in ChatGPT use. In addition, there should be an information menu on the user side that allows users to include/exclude sources based on their needs.""

""unreliable or bad-quality training data lead to poor model performance"", ""there is a risk of prioritizing quality of service over diversity in the sources,  hich may cause a false or inaccurate"""
Programming Is Hard- Or at Least It Used to Be: Educational Opportunities And Challenges of AI Code Generation,"backward snowball from ""The Robots are Here: Navigating the Generative AI Revolution in Computing Education""",becker2023programming,"code licensing;

environment (energy consumption);

representativeness;

fairness

code quality","""developers may end up using code that requires license compliance and not be aware that it does, even if the code is publicly-available""

""Training AI models can consume significant energy""

""The developers of Codex note that code generation models raise bias and representation issues beyond problematic natural language""

""notably that Codex can generate code with structure that reflects stereotypes about gender, race, emotion, class, the structure of names, and other characteristics [7].""

""Code generation models could be used to generate solutions of varying (or unknown) quality"""
Exploring ChatGPT’s code refactoring capabilities: An empirical study,"backward snowball from ""Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies""",depalma2024exploring,"fairness
privacy and security;
code quality","""prompt selection, we deliberated on whether bias would be introduced by including the phrase""
""any original code you provided to ChatGPT may be reused and recommended to other users limiting the security around your data""
""Refactoring suggestions provided by ChatGPT do not lead to improvements in code quality"""
Investigating Code Generation Performance of ChatGPT with Crowdsourcing Social Data,"backward snowball from ""Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies""",feng2023investigating,"fairness;
representativeness","""evidence of gender and racial bias in the code generated by ChatGPT,""
""collecting postings containing both ChatGPT and coding makes the retrieved data more accurate and representative;"""
"From ""Ban It Till We Understand It"" to ""Resistance is Futile"": How University Programming Instructors Plan to Adapt as More Students Use AI Code Generation and Explanation Tools such as ChatGPT and GitHub Copilot","backward snowball from ""Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies""",lau2023ban,"licensing

fairness

representative;

labor right (fair wage, working condition);

code quality

environment (energy consumption, emissions and pollution)","license: ""disregarding software licenses when scraping code repositories for training data""

fairness: ""whether users may unknowingly reinforce biases by programming using AI tools trained on such data.""

representative: ""whether that data is representative of certain groups of people""

human right (labor right): ""underpaid human workers to label and filter training data;""

code quality: ""Code quality: They may generate code that is stylistically non-ideal, that may not be robust to edge cases""

environment: ""energy usage and climate impacts;"""
Discriminating Human-authored from ChatGPT Generated Code Via Discernable Feature Analysis,"backward snowball from ""Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies""",li2023discriminating,"source acknowledgement
generation distictiveness
licensing
code quality","source acknowledgement: ""acknowledge and credits foundational sources where necessary""
distictiveness: ""generated code should be sufficiently distinct from existing code""
licensing: ""These issues could potentially lead to copyright disputes ""
code quality: ""While this could streamline the code generation process and uphold code quality, it also raises questions regarding innovation and originality in coding"""
StarCoder: may the source be with you!,"backward snowball from ""Evaluating Social Bias in Code Generation Models""",listarcoder,"licensing

consent

privacy

code quality

accessibility

transparency

diversity

religion; fairness

generation distictiveness","""collection of permissively licensed GitHub repositories""

""Opt-out process: ...offers a way to remove developer code""

""remove Personally Identifiable Information (PII) from the training data""

""expect Code LLMs to enable people from diverse backgrounds to learn to write higherquality code ""

""openness. Many models are closed-access to varying degrees...  limits their ability to research LLM safety, inspect the models’ inner workings, and contribute to model improvements.""

""The lack of transparency and openness surrounding the development processes of generative AI models has also raised concerns in the scientific community""

""The project is an open-scientific collaboration ... comprises more than 600 members from diverse academic institutes and industry labs;""

""results for gender, professional, racial, and religious bias""

""with fair use being most likely when the model generates novel content dissimilar to any copyrighted training data"""
Uncovering and quantifying social biases in code generation,"backward snowball from ""Evaluating Social Bias in Code Generation Models""",liu2023uncovering,"fairness
relgion","""develop a dataset along with three metrics to evaluate the overall social bias and fine-grained unfairness across different demographics""
""demographic dimensions like “religion”"""
CodexLeaks: Privacy Leaks from Code Generation Language Models in GitHub Copilot,"backward snowball from ""Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns""",niu2023codexleaks,"privacy
licensing","""privacy leakage in code generations is a serious risk."";
""The Stack [25], a collection of permissively licensed GitHub repositories"""
